days,world
1,557
2,655
3,941
4,1433
5,2118
6,2927
7,5578
8,6167
9,8235
10,9927
11,12038
12,16787
13,19887
14,23898
15,27643
16,30803
17,34396
18,37130
19,40160
20,42769
21,44811
22,45229
23,60382
24,66909
25,69052
26,71235
27,73270
28,75152
29,75652
30,76212
31,76841
32,78602
33,78982
34,79546
35,80399
36,81376
37,82736
38,84122
39,86013
40,88394
41,90377
42,92971
43,95279
44,98090
45,102003
46,106098
47,110047
48,114219
49,119041
50,126702
51,132492
52,146876
53,157950
54,169219
55,184027
56,199970
57,219535
58,246584
59,277359
60,309350
61,344205
62,387040
63,428219
64,479220
65,542097
66,607138
67,674418
68,733655
69,798949
70,875794
71,958629
72,1041679
73,1125250
74,1183609
75,1256219
76,1329371
77,1399212
78,1482610
79,1569630
80,1655153
81,1729417
82,1849112
83,1919853
84,2003857
85,2080973
86,2176491
87,2264524
88,2341739
89,2418310
90,2494320
91,2570078
92,2651377
93,2735668
94,2819764
95,2902007
96,2973582
97,3043786
98,3119324
99,3196455
100,3279935
101,3368292
102,3447490
103,3523887
104,3601559
105,3682058
106,3772095
107,3860819
108,3951089
109,4036352
110,4111266
111,4187924
112,4272394
113,4357399
114,4453629
115,4549347
116,4643762
117,4721809
118,4810975
119,4907722
120,5009628
121,5116275
122,5222689
123,5327481
124,5421702
125,5508408
126,5602388
127,5705152
128,5824433
129,5945341
130,6081855
131,6188259
132,6284232
133,6406196
134,6520447
135,6651410
136,6782636
137,6916355
138,7028730
139,7131206
140,7256265
141,7391371
142,7529424
143,7658151
144,7793444
145,7925721
146,8045387
147,8187468
148,8331222
149,8472296
150,8652193
151,8809651
152,8937355
153,9076708
154,9243514
155,9416110
156,9594500
157,9786102
158,9964218
159,10128093
160,10283456
161,10457988
162,10675596
163,10885548
164,11086923
165,11280744
166,11464726
167,11628722
168,11840091
169,12054250
170,12281090
171,12513766
172,12730232
173,12922492
174,13113970
175,13336173
176,13567611
177,13818969
178,14061686
179,14297865
180,14511279
181,14718412
182,14952034
183,15231917
184,15514776
185,15795846
186,16049938
187,16263015
188,16489477
189,16742217
190,17033965
191,17314074
192,17604811
193,17853166
194,18084181
195,18290628
196,18548543
197,18825127
198,19110321
199,19392566
200,19651099
201,19875797
202,20101808
203,20359380
204,20636018
205,20925236
206,21228980
207,21476718
208,21691208
209,21898916
210,22157171
211,22436722
212,22709277
213,22970496
214,23234766
215,23440930
216,23666158
217,23910153
218,24193952
219,24477860
220,24761471
221,25025287
222,25246275
223,25509140
224,25774047
225,26057555
226,26339015
227,26653020
228,26923081
229,27153595
230,27371523
231,27613555
232,27898369
233,28198228
234,28519589
235,28806206
236,29048946
237,29312693
238,29598140
239,29902687
240,30217566
241,30543485
242,30835647
243,31087793
244,31363785
245,31648303
246,31924402
247,32277431
248,32608314
249,32896777
250,33148188
251,33403027
252,33685585
253,34011804
254,34330104
255,34627958
256,34960044
257,35221464
258,35522414
259,35848966
260,36199957
261,36561290
262,36922190
263,37279326
264,37566278
265,37857976
266,38177218
267,38559565
268,38966541
269,39378313
270,39750993
271,40067583
272,40454758
273,40843745
274,41288653
275,41761382
276,42258164
277,42714986
278,43075703
279,43562021
280,44032249
281,44544143
282,45094525
283,45665604
284,46142428
285,46604864
286,47167894
287,47721721
288,48233206
289,48829777
290,49474659
291,50071611
292,50555683
293,51057076
294,51616461
295,52265191
296,52914645
297,53566727
298,54161862
299,54635935
300,55170071
301,55781327
302,56408504
303,57062051
304,57730831
305,58318557
306,58806701
307,59331660
308,59921951
309,60558291
310,61140970
311,61827863
312,62414022
313,62902699
314,63411091
315,64023308
316,64675043
317,65369179
318,66052314
319,66694746
320,67233741
321,67753311
322,68396799
323,69066819
324,70564945
325,71269554
326,71904616
327,72435722
328,72960602
329,73596794
330,74330464
331,75070221
332,75790546
333,76401995
334,76935664
335,77484615
336,78134972
337,78830100
338,79496691
339,79962475
340,80475205
341,80913868
342,81409709
343,82074293
344,82835540
345,83560482
346,84093788
347,84720299
348,85253202
349,85807043
350,86547096
351,87330661
352,88211545
353,89014809
354,89776075
355,90365376
356,90984976
357,91690531
358,92438858
359,93194145
360,93961381
361,94600703
362,95130064
363,95645312
364,96253248
365,96946210
366,97602571
367,98261639
368,98829909
369,99275699
370,99772747
371,100329071
372,100927448
373,101541893
374,102132381
375,102647858
376,103029652
377,103476199
378,103934126
379,104456157
380,104923095
381,105458548
382,105830862
383,106229038
384,106545054
385,106972720
386,107408534
387,107850003
388,108278724
389,108652122
390,108946086
391,109229345
392,109580144
393,109975720
394,110379223
395,110791727
396,111162265
397,111476792
398,111765161
399,112154029
400,112598969
401,113046460
402,113489486
403,113878785
404,114182356
405,114488090
406,114798408
407,115239558
408,115692613
409,116139645
410,116550222
411,116918602
412,117217208
413,117631885
414,118098952
415,118575835
416,119065151
417,119519364
418,119879810
419,120228591
420,120701640
421,121241068
422,121794627
423,122356343
424,122855285
425,123278672
426,123695333
427,124209643
428,124843218
429,125494652
430,126136052
431,126720792
432,127190873
433,127649131
434,128217581
435,128900516
436,129612373
437,130246167
438,130775801
439,131328758
440,131818062
441,132422295
442,133106608
443,133946462
444,134694522
445,135359190
446,136050057
447,136666545
448,137446191
449,138263254
450,139080030
451,139934945
452,140723160
453,141408751
454,142102363
455,142956456
456,143846433
457,144746200
458,145649953
459,146471022
460,147193478
461,147876137
462,148720592
463,149626600
464,150524258
465,151403270
466,152200029
467,152874414
468,153555936
469,154363355
470,155204557
471,156074567
472,156906973
473,157692702
474,158334279
475,158956114
476,159694580
477,160454640
478,161179904
479,161897925
480,162525945
481,163074549
482,163614578
483,164237099
484,164908717
485,165188667
486,165814688
487,166392888
488,166869423
489,167323966
490,167856147
491,168424728
492,168979457
493,169479742
494,169961056
495,170352481
496,170731386
497,171195111
498,171680814
499,172170025
500,172589830
501,172988099
502,173310790
503,173632095
504,173998913
505,174418404
506,174867908
507,175289166
508,175661069
509,175963985
510,176272504
511,176644004
512,177042543
513,177435045
514,177840993
515,178188440
516,178488764
517,178786159
518,179158296
519,179595551
520,179999388
521,180421128
,180733756
